,name,url,rating,coordinates.latitude,coordinates.longitude,location.city
19,Alba Hôtel,https://www.yelp.com/biz/alba-h%C3%B4tel-st-malo-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,48.6565796,-2.0033635,St Malo
20,Hôtel Antinéa,https://www.yelp.com/biz/h%C3%B4tel-antin%C3%A9a-saint-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,48.6554147,-2.00528708,Saint-Malo
21,Hotel Kyriad Saint Malo Plage,https://www.yelp.com/biz/hotel-kyriad-saint-malo-plage-saint-malo-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,48.655432,-2.005599,Saint-Malo
22,B&B Hôtel Saint Malo Centre,https://www.yelp.com/biz/b-et-b-h%C3%B4tel-saint-malo-centre-saint-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,48.63839,-1.99005,Saint-Malo
23,Hotel Terminus,https://www.yelp.com/biz/hotel-terminus-st-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2.0,48.6467255,-2.0085691,St Malo
24,Le Grand Hôtel,https://www.yelp.com/biz/le-grand-h%C3%B4tel-dinard?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,48.633,-2.05141,Dinard
25,Hôtel de la Porte St Pierre,https://www.yelp.com/biz/h%C3%B4tel-de-la-porte-st-pierre-saint-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,48.64787,-2.0281699,Saint-Malo
26,Le Grand Hôtel des Thermes,https://www.yelp.com/biz/le-grand-h%C3%B4tel-des-thermes-saint-malo-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,48.657879,-1.999607,Saint-Malo
27,Etap Hotel,https://www.yelp.com/biz/etap-hotel-st-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,48.6382767,-2.0094027,St Malo
28,Hôtel Bar Le Nautilus,https://www.yelp.com/biz/h%C3%B4tel-bar-le-nautilus-st-malo-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,48.6505906,-2.0248252,St Malo
29,Quic en Groigne,https://www.yelp.com/biz/quic-en-groigne-saint-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,48.64677,-2.02673,Saint Malo
30,Hôtel Ambassadeur,https://www.yelp.com/biz/h%C3%B4tel-ambassadeur-st-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2.5,48.6547556,-2.0077388,St Malo
31,Hôtel des Abers,https://www.yelp.com/biz/h%C3%B4tel-des-abers-saint-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,48.6504712,-2.024936,Saint-Malo
32,Escale Oceania Saint-Malo,https://www.yelp.com/biz/escale-oceania-saint-malo-saint-malo?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,48.6542553,-2.008786,Saint-Malo
33,Hôtel le Bayeux,https://www.yelp.com/biz/h%C3%B4tel-le-bayeux-bayeux-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.27412,-0.70439,Bayeux
34,Villa Lara,https://www.yelp.com/biz/villa-lara-bayeux-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.276164,-0.700342,Bayeux
35,Hôtel d'Argouges,https://www.yelp.com/biz/h%C3%B4tel-d-argouges-bayeux-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.27901,-0.70843,Bayeux
